
PRODTOUR_ID,TD_OverALL,Hotel,Meal,NPS
257169,3.90909,4.333333,4.545454,0.727272727
253893,4,4.4,4.566666,0.8125
253593,4,3.666666,4.5,0.25
256908,4,4.185185,4.444444,0.111111111
256733,3.961538,4.358974,4.576923,0.961538462
278839,3.785714,4.071428,4.45238,0.75
253773,4,4.319148,4.789473,0.5
254009,4,4.366666,4.56,0.923076923
253483,4,4.25,4.8125,0.9375
262011,4,4.183333,4.75,1
256782,4,4.640625,4.6875,0.764705882
257014,3.4,4.047619,4.321428,0.5
284217,3.866666,3.84,3.5,0.733333333
253545,4,4.224489,4.594594,1
262036,3.85,3.845588,4.305084,0.714285714
256745,4,4.285714,4.446428,0.928571429
256714,4,4.43421,4.631578,0.894736842
253525,3.9375,4,4.333333,0.8125
256930,4,3.685185,4.230769,0.157894737
260615,4,3.805555,4.527777,0.888888889
261945,4,3.650793,4.644067,0.681818182
253789,4,4.4,4.48,0.96
262082,4,4.292307,4.567567,0.743589744
253787,4,4.361111,4.407407,1
262014,3.857142,3.807142,3.844036,0.620689655
278812,3.9375,4.083333,4.459459,0.5
257099,4,4.944444,4.033333,1
261987,3.947368,4.254385,4.587719,0.894736842
269535,4,4.263157,4.135338,0.789473684
278883,3.705882,4.186274,4.397058,0.529411765
278822,4,3.488888,4.595238,0.466666667
253559,2.375,4.032258,3.516129,-0.0625
253977,4,3.611111,4.5,0.666666667
256726,4,4.277777,3.75,0.666666667
253667,4,4.482142,4.25,0.764705882
278816,4,3.75,4.15,0.875
257102,4,4.233333,4.46,0.636363636
253718,3.965517,4.489655,4.551724,0.931034483
253522,4,4,4.352941,0.625
253468,4,4.311111,4.6,0.75
253540,3.8,3.633333,4.333333,0.2
257086,3.818181,4.636363,4.166666,0.909090909
253500,3.833333,3.611111,4.479166,0.777777778
256990,3.85,3.72519,3.97826,0.090909091
286566,3.866666,3.8,4,0.875
256822,4,4.261437,4.344262,0.838709677
295868,4,3.434782,4.2,0.916666667
256973,4,4.078212,4.364864,0.518518519
262026,3.923076,3.435897,3.897435,0.481481481
257094,3.914285,4.257142,4.142857,0.666666667
268899,3.958333,4.072916,4.402777,0.875
260592,3.777777,3.9,3.555555,0.555555556
256997,4,4.428571,4.736842,1
253914,4,3.95098,4.323529,0.722222222
256759,4,4.462025,4.678571,0.954545455
274139,4,4.45,4.59375,0.9375
253623,4,4.2625,4.46875,0.9375
253510,4,4.138888,4.464285,0.833333333
257133,3.95,4.365,4.35,0.825
269916,3.333333,3.5,4.125,0
253673,4,4.185185,4.333333,1
254017,4,4.25,4.1875,0.888888889
253990,4,4.377777,4.759259,0.894736842
257022,3.857142,4.214285,4.714285,0.571428571
256819,4,4.766666,4.36,1
253951,4,4.536,4.413333,1
261442,4,4.126436,4.16954,0.931034483
256711,3.866666,4.666666,4.311111,0.933333333
256895,4,4.5,5,1
278859,3.925925,4.490384,4.589743,0.962962963
257162,4,3.652173,4.434782,0.826086957
253719,4,4.033333,4.133333,0.733333333
256771,3.625,4.25,3.9375,0.875
256791,4,4.241935,4.037735,0.333333333
257085,3.653846,3.557692,4.057692,0.62962963
256998,3.882352,4.094117,4.137254,0.885714286
257135,3.7,4.368421,4.22807,0.5
259823,3.142857,3.666666,3.333333,0.714285714
257125,3.931034,3.956268,4.157894,0.666666667
253749,4,4.216326,4.357142,1
256739,4,4.041666,4.6875,0.916666667
256816,3.96,4.58,4.8,0.88
253598,3.888888,3.694444,4.042553,0.333333333
253724,3.875,3.75,4.45238,0.6875
257019,4,3.72619,4.38,0.642857143
253782,4,3.74074,4.583333,0.888888889
260606,3.5,3.75,3.625,0.5
253687,4,3.880952,4.083333,0
253920,4,4.568,4.54,1
257066,4,3.98913,4.586956,1
256862,3.833333,3.555555,3.833333,-0.428571429
256864,3.95238,4.047619,4.571428,1
256920,3.933333,4.566666,4.166666,0.7
253917,3.333333,4.266666,4.2,0.285714286
260595,3.9375,4.037974,4.361702,0.6875
278835,4,4.055555,4.160583,0.894736842
253490,4,4.28125,4.222222,0.9375
253700,3.666666,4.23913,4.545454,0.333333333
257202,3.92,4.32,4.62,0.84
256931,4,4.177777,4.365384,0.833333333
253653,3.923076,4.384615,3.76923,0.769230769
253980,3.761904,4.333333,4.5,0.714285714
256992,4,3.888888,4.638888,0.421052632
257048,4,3.977272,4.432098,0.909090909
256769,4,4.333333,4.414634,1
260603,3.791666,3.804347,4.195652,0.68
278825,3.90909,3.939393,3.272727,0.636363636
257035,4,4.535353,4.530303,1
257203,3.8,4.4,4.55,0.8
257130,3.90909,4.818181,4.854838,1
262005,3.730769,4.884615,4.423076,0.923076923
268907,4,4.142857,4.285714,0.4
260640,4,4.061538,4.115384,0.769230769
256799,4,4.777777,4.625,0.923076923
256902,4,4.311111,4.722222,0.777777778
253957,4,4.064,4.34,0.884615385
253649,3.357142,4.357142,4.038461,0.642857143
256751,3.869565,4.260869,4.152173,0.833333333
261935,3.8125,3.78125,4.428571,0.875
256948,3.916666,4.466666,4.041666,0.916666667
253478,3.272727,3.704545,3.531468,0.545454545
253993,3.933333,4.416666,4.755555,0.9375
253943,4,3.958333,3.875,0.875
253727,3.958333,4.444444,4.875,0.88
256780,4,4.466666,4.625,0.958333333
253629,4,3.9,4.033333,0.833333333
278873,4,4.45238,4.785714,1
301461,4,3.977272,4.151515,0.636363636
257156,3.681818,3.560606,3.962025,0.5
261467,4,4.210526,4.428571,0.684210526
256904,4,4.514285,4.190476,1
261981,3.851851,3.842592,4.079772,0.925925926
261439,3.555555,3.74074,3.685185,0.4
256970,3.875,4.677083,4.770833,0.958333333
253511,4,4.4,4.090909,0.818181818
253497,4,4.291666,4.729166,1
253705,3.8,3.914285,4.2,0.6
256956,3.956521,3.686567,3.492537,0.608695652
253970,4,4.155303,4.515151,0.939393939
253596,3.947368,3.915384,4.378378,0.842105263
285918,4,4.632352,4.647058,1
256912,3.882352,4.17647,4.588235,0.764705882
261979,4,4.833333,4.444444,0.84
256980,4,4.163636,4.666666,0.863636364
256761,4,4.55102,4.892857,0.857142857
259673,4,4.349206,4.514285,0.952380952
257029,3.962962,4.195767,4.222222,0.75
260597,4,4.2,4.411764,0.944444444
257174,4,4.183333,4.375,0.923076923
256845,3.75,3.975,4.25,0.666666667
261961,4,4.576923,4.509615,0.888888889
261920,4,3.858974,2.5,0.230769231
257053,3.705882,4.411764,3.960784,0.882352941
253573,4,4.5,4.620689,1
